gene_id,chromosome,gene_name,start,end,strand,n_transcripts,n_loci
FLRT1,HiC_scaffold_40783,FLRT1,240,3082,-,1,1
LOC103094708,HiC_scaffold_40845,LOC103094708,1205,1308,+,1,1
LOC103093644,HiC_scaffold_40846,LOC103093644,2790,3428,+,3,1
LOC103098256,HiC_scaffold_40857,LOC103098256,1534,1688,+,1,1
TRGC,HiC_scaffold_40869,TRGC,2135,3350,-,1,1
LOC107652282,HiC_scaffold_40880,LOC107652282,2,3057,+,1,1
LOC100010178,HiC_scaffold_40888,LOC100010178,1,1232,-,3,1
LOC103098338,HiC_scaffold_409,LOC103098338,17464,19571,+,1,1
LOC130455753,HiC_scaffold_4091,LOC130455753,2116,2873,-,1,1
LOC130455928,HiC_scaffold_4091,LOC130455928,7385,8199,+,1,1
LOC100013581,HiC_scaffold_4097,LOC100013581,10613,11555,+,1,1
LOC100028283,HiC_scaffold_410,LOC100028283,5162,6088,-,1,1
LOC130453865,HiC_scaffold_41002,LOC130453865,177,1689,+,1,1
TRNAC-GCA_18,HiC_scaffold_41010,TRNAC-GCA,1859,1930,-,1,1
LOC130456197,HiC_scaffold_4107,LOC130456197,3263,13811,-,3,1
LOC130454280,HiC_scaffold_4108,LOC130454280,5292,11166,+,1,1
LOC100032444,HiC_scaffold_4108,LOC100032444,6015,11166,+,2,1
LOC130456909,HiC_scaffold_4109,LOC130456909,7415,9247,+,1,1
LOC130454131,HiC_scaffold_411,LOC130454131,20530,20609,+,1,1
LOC103095199,HiC_scaffold_41115,LOC103095199,38,969,-,1,1
LOC100026396,HiC_scaffold_4113,LOC100026396,973,6441,+,1,1
LOC103096442,HiC_scaffold_412,LOC103096442,2476,2657,-,1,1
LOC130456105,HiC_scaffold_412,LOC130456105,2476,2707,-,1,1
LOC130456127,HiC_scaffold_412,LOC130456127,16787,17223,-,1,1
PPP1R3C,HiC_scaffold_4125,PPP1R3C,2364,7814,-,1,1
LOC103103636,HiC_scaffold_4134,LOC103103636,12399,13803,-,1,1
LOC100011182,HiC_scaffold_41368,LOC100011182,1605,2192,-,1,1
LOC130453591,HiC_scaffold_41427,LOC130453591,293,624,-,1,1
LOC130458060,HiC_scaffold_41427,LOC130458060,642,1000,-,1,1
LOC100619883,HiC_scaffold_4143,LOC100619883,2555,5719,+,6,2
LOC100012978,HiC_scaffold_41476,LOC100012978,96,3352,-,1,1
LOC130457784,HiC_scaffold_41507,LOC130457784,1241,1374,-,1,1
LOC130454226,HiC_scaffold_415581,LOC130454226,14,204,-,1,1
LOC103103809,HiC_scaffold_4162,LOC103103809,1341,7741,-,3,1
DUSP26,HiC_scaffold_4163,DUSP26,5995,13689,+,7,1
LOC130457550,HiC_scaffold_4170,LOC130457550,4321,4621,+,1,1
LOC103104271,HiC_scaffold_41726,LOC103104271,1577,2682,-,1,1
LOC107649974,HiC_scaffold_41733,LOC107649974,1827,2008,-,1,1
TRNAC-ACA_2,HiC_scaffold_41806,TRNAC-ACA,2868,2939,+,1,1
LOC100021078,HiC_scaffold_4183,LOC100021078,1151,4052,-,1,1
LOC130456010,HiC_scaffold_41843,LOC130456010,3106,3231,+,1,1
LOC100013378,HiC_scaffold_42015,LOC100013378,2504,3287,-,1,1
LOC130455622,HiC_scaffold_4202,LOC130455622,10356,13442,+,1,1
RCHY1,HiC_scaffold_42067,RCHY1,861,3039,+,1,1
LOC107649380,HiC_scaffold_42082,LOC107649380,101,1471,-,1,1
LOC100031915,HiC_scaffold_421,LOC100031915,5931,8699,-,2,1
LOC100015645,HiC_scaffold_42131,LOC100015645,1098,3272,-,2,1
LOC130456393,HiC_scaffold_42158,LOC130456393,1071,2902,+,1,1
LOC103094287,HiC_scaffold_42180,LOC103094287,428,712,-,1,1
TRNAK-UUU_5,HiC_scaffold_42186,TRNAK-UUU,440,512,+,1,1
TRNAR-ACG_1,HiC_scaffold_42186,TRNAR-ACG,923,995,+,1,1
TRNAR-ACG_2,HiC_scaffold_42186,TRNAR-ACG,2272,2344,-,1,1
TRNAK-UUU_6,HiC_scaffold_42186,TRNAK-UUU,2755,2827,-,1,1
C1H9orf43,HiC_scaffold_4220,C1H9orf43,1072,12894,-,4,1
LOC103094930,HiC_scaffold_42233,LOC103094930,20,1103,+,1,1
ADTRP,HiC_scaffold_4230,ADTRP,11803,12917,-,2,1
LOC100016286,HiC_scaffold_42312,LOC100016286,1582,3115,+,2,1
LOC100013913,HiC_scaffold_4234,LOC100013913,8956,9828,+,1,1
LOC103098795,HiC_scaffold_42362,LOC103098795,650,3033,+,2,1
LOC103095699,HiC_scaffold_42382,LOC103095699,145,2981,-,2,2
IFN2,HiC_scaffold_42473,IFN2,1842,2413,-,1,1
LOC130455866,HiC_scaffold_4252,LOC130455866,10634,11501,-,1,1
LOC100031918,HiC_scaffold_42521,LOC100031918,3016,3227,+,1,1
GLTP,HiC_scaffold_42564,GLTP,1086,1820,-,1,1
LOC100025955,HiC_scaffold_42568,LOC100025955,12,2501,-,2,1
LOC100014486,HiC_scaffold_4264,LOC100014486,244,2348,+,1,1
CASP3,HiC_scaffold_42660,CASP3,263,2860,-,2,2
CAMK2N2,HiC_scaffold_42671,CAMK2N2,1,1591,-,1,1
monDomV1R1222,HiC_scaffold_42707,monDomV1R1222,2113,2653,+,1,1
monDomV1R1217,HiC_scaffold_4272,monDomV1R1217,7415,8316,-,1,1
LOC100028318,HiC_scaffold_428,LOC100028318,11803,12221,-,1,1
LOC130459018,HiC_scaffold_4284,LOC130459018,316,3221,+,1,1
LOC130453968,HiC_scaffold_4284,LOC130453968,371,827,-,3,1
LOC103097017,HiC_scaffold_4284,LOC103097017,898,3905,-,1,1
LOC103102784,HiC_scaffold_4284,LOC103102784,4368,12104,+,1,1
PLA2G10,HiC_scaffold_42881,PLA2G10,2035,2185,-,1,1
LOC100023137,HiC_scaffold_42896,LOC100023137,1,2733,+,5,1
HAUS2,HiC_scaffold_42987,HAUS2,1647,2926,-,3,1
LOC100618943,HiC_scaffold_43,LOC100618943,89386,90373,-,1,1
LOC103098320,HiC_scaffold_430,LOC103098320,5071,15634,+,4,1
LOC130456029,HiC_scaffold_430101,LOC130456029,102,207,-,1,1
LOC100015858,HiC_scaffold_4305,LOC100015858,5909,10094,+,1,1
LOC103104108,HiC_scaffold_43125,LOC103104108,1536,2539,-,1,1
LOC130456162,HiC_scaffold_43187,LOC130456162,2785,3000,+,1,1
CORO1B,HiC_scaffold_4327,CORO1B,123,2879,+,1,1
PTPRCAP,HiC_scaffold_4327,PTPRCAP,5643,6512,+,1,1
LOC100014573,HiC_scaffold_4327,LOC100014573,6641,12441,-,1,1
RPL37,HiC_scaffold_43280,RPL37,647,3131,+,1,1
TRNAC-GCA_8,HiC_scaffold_43335,TRNAC-GCA,57,128,-,1,1
LOC130457825,HiC_scaffold_43362,LOC130457825,2460,2575,+,1,1
KLHL15,HiC_scaffold_43491,KLHL15,1,3120,-,6,1
LOC103099260,HiC_scaffold_4350,LOC103099260,11507,13088,+,1,1
FOXJ1,HiC_scaffold_43539,FOXJ1,607,2342,-,2,1
LOC100030020,HiC_scaffold_43543,LOC100030020,925,2914,+,1,1
MIR1544C-5,HiC_scaffold_43588,MIR1544C-5,2509,2569,-,1,1
LOC107649307,HiC_scaffold_4360,LOC107649307,11949,12126,-,1,1
PCGF3,HiC_scaffold_43654,PCGF3,3,3077,+,4,2
LOC103093857,HiC_scaffold_4367,LOC103093857,9644,13348,-,13,2
VASP,HiC_scaffold_43677,VASP,705,3040,+,2,1
LOC100617665,HiC_scaffold_43694,LOC100617665,454,1025,+,1,1
LOC100030181,HiC_scaffold_43696,LOC100030181,1015,3095,-,5,1
LOC130455486,HiC_scaffold_43726,LOC130455486,1236,2651,+,1,1
LOC100009776,HiC_scaffold_43739,LOC100009776,442,1171,-,1,1
LOC100013022,HiC_scaffold_4387,LOC100013022,3797,4738,-,1,1
monDomV1R1267,HiC_scaffold_43884,monDomV1R1267,1561,2535,+,1,1
LOC130456860,HiC_scaffold_43898,LOC130456860,432,2657,-,3,1
LOC100018795,HiC_scaffold_4393,LOC100018795,11630,12549,+,1,1
monDomV1R1225,HiC_scaffold_43970,monDomV1R1225,885,1820,-,1,1
LOC130454262,HiC_scaffold_43989,LOC130454262,2149,2355,+,1,1
ELP6,HiC_scaffold_4399,ELP6,131,11632,-,1,1
LMTK3,HiC_scaffold_44,LMTK3,2277,10610,+,1,2
CYTH2,HiC_scaffold_44,CYTH2,11187,15299,-,1,1
LOC130454025,HiC_scaffold_44,LOC130454025,15424,38322,+,1,1
GRWD1,HiC_scaffold_44,GRWD1,20674,23005,-,1,1
SYNGR4,HiC_scaffold_44,SYNGR4,50734,60749,-,3,2
ODAD1,HiC_scaffold_44,ODAD1,73702,79471,+,1,2
LOC130454024,HiC_scaffold_44,LOC130454024,82469,82692,-,1,1
MYADM,HiC_scaffold_44,MYADM,83259,87815,+,5,1
LOC130457900,HiC_scaffold_440,LOC130457900,2934,13318,-,6,1
LOC100619755,HiC_scaffold_440,LOC100619755,18176,19689,-,7,1
TRNAN-GUU_10,HiC_scaffold_44015,TRNAN-GUU,2189,2262,+,1,1
TRNAF-GAA_7,HiC_scaffold_44015,TRNAF-GAA,2755,2827,+,1,1
TBL3,HiC_scaffold_4405,TBL3,238,4163,+,1,1
NOXO1,HiC_scaffold_4405,NOXO1,5201,9468,-,2,1
LOC100619035,HiC_scaffold_44140,LOC100619035,2275,2659,+,1,1
LOC100021550,HiC_scaffold_44150,LOC100021550,803,2878,+,1,1
LOC103098717,HiC_scaffold_4418,LOC103098717,7718,12909,-,1,1
LOC130457404,HiC_scaffold_44189,LOC130457404,146,1617,-,1,1
LOC130456217,HiC_scaffold_44230,LOC130456217,1944,2049,+,1,1
DHPS,HiC_scaffold_44358,DHPS,1,3018,+,2,1
LOC100027245,HiC_scaffold_44367,LOC100027245,1392,2330,+,1,1
LOC103101579,HiC_scaffold_4439,LOC103101579,7854,9871,-,1,1
OSR1,HiC_scaffold_44430,OSR1,84,2833,+,2,1
LOC100021236,HiC_scaffold_44467,LOC100021236,733,1256,+,2,1
LOC130456149,HiC_scaffold_44569,LOC130456149,3,2933,+,2,1
TAX1BP3,HiC_scaffold_44776,TAX1BP3,222,353,-,1,2
EMC6,HiC_scaffold_44776,EMC6,424,1790,+,1,1
LOC100025715,HiC_scaffold_44789,LOC100025715,332,2751,-,3,2
LOC100028222,HiC_scaffold_4480,LOC100028222,5695,6633,+,1,1
LOC130457968,HiC_scaffold_44819,LOC130457968,733,1269,+,1,1
ODR4,HiC_scaffold_4482,ODR4,7260,12664,-,4,2
ABRACL,HiC_scaffold_44853,ABRACL,2534,2965,+,1,1
PLEKHB2,HiC_scaffold_4487,PLEKHB2,1642,5305,-,5,1
LOC100616873,HiC_scaffold_44901,LOC100616873,254,2959,-,3,1
CCSAP,HiC_scaffold_44990,CCSAP,5,2939,+,1,1
PRKCG,HiC_scaffold_45,PRKCG,239,10201,-,2,3
EMP3,HiC_scaffold_45,EMP3,30140,32871,+,3,1
TMEM143,HiC_scaffold_45,TMEM143,33602,39787,-,1,1
KDELR1,HiC_scaffold_45,KDELR1,50218,52573,-,1,1
GRIN2D,HiC_scaffold_45,GRIN2D,52658,75351,+,3,1
KCNJ14,HiC_scaffold_45,KCNJ14,79968,83549,+,2,1
LGALS9,HiC_scaffold_45048,LGALS9,1475,2632,-,2,1
LOC100024049,HiC_scaffold_45079,LOC100024049,1,773,+,1,1
NCF4,HiC_scaffold_451,NCF4,4889,20211,-,1,1
LOC130457800,HiC_scaffold_451068,LOC130457800,51,185,+,1,1
LOC100618946,HiC_scaffold_4511,LOC100618946,1533,9033,-,1,1
LOC107649019,HiC_scaffold_45143,LOC107649019,670,1037,-,1,1
NUP85,HiC_scaffold_4518,NUP85,3904,13233,+,3,1
APOLD1,HiC_scaffold_452,APOLD1,5008,10503,-,2,1
LOC103101735,HiC_scaffold_4520,LOC103101735,7026,10727,-,1,1
LOC100012084,HiC_scaffold_45200,LOC100012084,1473,2462,-,1,1
LOC130455845,HiC_scaffold_45227,LOC130455845,1459,2758,-,2,1
TRNAM-CAU_3,HiC_scaffold_45246,TRNAM-CAU,566,638,+,1,1
LOC103092767,HiC_scaffold_45271,LOC103092767,661,1522,+,2,1
GPR152,HiC_scaffold_4528,GPR152,1211,2548,+,1,1
LOC130454917,HiC_scaffold_4528,LOC130454917,4530,5535,-,1,1
ZBTB21,HiC_scaffold_4531,ZBTB21,2645,9920,-,6,1
LOC130455173,HiC_scaffold_45336,LOC130455173,391,2917,-,1,1
LOC100028243,HiC_scaffold_45395,LOC100028243,63,1804,-,1,1
GAPDHS,HiC_scaffold_45569,GAPDHS,1113,2478,-,1,1
LOC130456148,HiC_scaffold_45589,LOC130456148,484,2737,-,5,1
monDomV1R1220,HiC_scaffold_45650,monDomV1R1220,777,1688,-,1,1
AARS1,HiC_scaffold_459,AARS1,653,18078,-,1,1
LOC100028998,HiC_scaffold_45910,LOC100028998,195,655,-,1,1
SLC43A2,HiC_scaffold_45955,SLC43A2,306,2825,-,2,1
LOC100030851,HiC_scaffold_45967,LOC100030851,623,2714,-,1,1
VN2R584,HiC_scaffold_45972,VN2R584,2077,2852,-,1,2
CDK16,HiC_scaffold_4600,CDK16,470,8459,-,13,1
MIR759,HiC_scaffold_4602,MIR759,2636,2733,+,1,1
LOC103101413,HiC_scaffold_46037,LOC103101413,105,2361,+,1,1
LOC130458488,HiC_scaffold_46064,LOC130458488,1312,2329,+,3,1
LOC103100168,HiC_scaffold_46082,LOC103100168,1263,2020,+,1,1
ADAM9,HiC_scaffold_461,ADAM9,2467,10586,+,1,1
LOC100031274,HiC_scaffold_46188,LOC100031274,2142,2831,-,1,1
LOC130455826,HiC_scaffold_46227,LOC130455826,1113,1390,+,1,1
LOC103106510,HiC_scaffold_4629,LOC103106510,11695,12647,+,1,1
LOC130457558,HiC_scaffold_4630,LOC130457558,144,2694,+,1,1
TRNAT-AGU_9,HiC_scaffold_46311,TRNAT-AGU,1263,1336,+,1,1
LOC130454563,HiC_scaffold_4641,LOC130454563,4775,6831,-,1,1
C2CD4B,HiC_scaffold_46411,C2CD4B,1,889,-,1,1
LOC103096972,HiC_scaffold_46428,LOC103096972,365,1883,+,2,2
LOC103094844,HiC_scaffold_46467,LOC103094844,1294,2054,-,1,1
MEI4,HiC_scaffold_4647,MEI4,3477,6546,-,2,1
TMEM147,HiC_scaffold_46496,TMEM147,698,2253,-,5,1
FBXO39,HiC_scaffold_46557,FBXO39,1335,2444,-,2,1
LOC100618976,HiC_scaffold_4657,LOC100618976,3656,4594,-,1,1
LOC103093818,HiC_scaffold_46576,LOC103093818,1845,2580,+,1,1
T2R2,HiC_scaffold_46601,T2R2,1177,2110,-,1,1
LOC103105807,HiC_scaffold_46619,LOC103105807,722,1099,-,1,1
CENPA,HiC_scaffold_4670,CENPA,2748,9571,+,4,1
MIR12358,HiC_scaffold_46790,MIR12358,2350,2412,-,1,1
LOC100028667,HiC_scaffold_46833,LOC100028667,2261,2761,-,1,1
LOC100016638,HiC_scaffold_4686,LOC100016638,10677,11901,+,1,1
LOC130456238,HiC_scaffold_4689,LOC130456238,2504,2575,+,1,1
LOC103102378,HiC_scaffold_46918,LOC103102378,1758,2698,-,1,1
LOC100025566,HiC_scaffold_47007,LOC100025566,1133,2744,+,1,1
monDomV1R1244,HiC_scaffold_47020,monDomV1R1244,1506,2471,-,2,2
LOC103102772,HiC_scaffold_4709,LOC103102772,11187,11841,-,1,1
LOC130456080,HiC_scaffold_4710,LOC130456080,11599,11714,-,5,1
LOC103094069,HiC_scaffold_47149,LOC103094069,1497,1620,+,1,1
LOC130456218,HiC_scaffold_47184,LOC130456218,111,217,-,1,1
LOC103099836,HiC_scaffold_47200,LOC103099836,345,1046,+,1,1
LOC103099085,HiC_scaffold_47218,LOC103099085,678,2692,+,1,1
LOC130453543,HiC_scaffold_47264,LOC130453543,1323,2564,+,1,1
LOC130456261,HiC_scaffold_4727,LOC130456261,10570,13341,-,1,1
LEKR1,HiC_scaffold_47304,LEKR1,1,2532,-,1,1
LOC130456699,HiC_scaffold_47305,LOC130456699,1079,1185,-,1,1
LOC130458757,HiC_scaffold_4733,LOC130458757,12368,12875,-,1,1
TRNAI-AAU_4,HiC_scaffold_47480,TRNAI-AAU,501,574,+,1,1
FBXO3,HiC_scaffold_4752,FBXO3,1923,11928,+,4,1
LOC107648884,HiC_scaffold_4753,LOC107648884,5130,8421,+,10,3
LOC100033000,HiC_scaffold_47547,LOC100033000,415,2202,+,1,1
LOC100021613,HiC_scaffold_4757,LOC100021613,1683,11368,+,1,1
EIF4E3,HiC_scaffold_4758,EIF4E3,10897,12535,-,1,2
NOB1,HiC_scaffold_4771,NOB1,2597,12165,+,1,1
LOC130453583,HiC_scaffold_47737,LOC130453583,1858,2637,+,1,1
GNGT2,HiC_scaffold_4780,GNGT2,1933,9312,-,3,1
LOC100020822,HiC_scaffold_47837,LOC100020822,1759,2657,+,1,1
ILF2,HiC_scaffold_4786,ILF2,547,7175,+,1,1
SNAPIN,HiC_scaffold_4786,SNAPIN,5331,9352,-,1,1
LOC130454893,HiC_scaffold_47995,LOC130454893,933,1104,-,1,1
LOC130455580,HiC_scaffold_4803,LOC130455580,2585,4217,-,1,1
LOC100026802,HiC_scaffold_48153,LOC100026802,550,2465,+,6,1
QSER1,HiC_scaffold_4819,QSER1,1949,12545,-,1,2
LOC130454553,HiC_scaffold_48254,LOC130454553,1085,2446,-,1,1
LOC103102562,HiC_scaffold_48358,LOC103102562,1,2402,+,6,1
LOC130458030,HiC_scaffold_48389,LOC130458030,368,926,+,1,1
LOC130458867,HiC_scaffold_48552,LOC130458867,2159,2587,+,1,1
LOC103103230,HiC_scaffold_48557,LOC103103230,901,2022,+,1,1
LOC130458841,HiC_scaffold_48617,LOC130458841,1728,2263,-,2,1
LOC130456843,HiC_scaffold_48697,LOC130456843,36,798,-,1,1
LOC100011383,HiC_scaffold_48697,LOC100011383,316,707,+,1,1
LOC100011471,HiC_scaffold_48697,LOC100011471,1971,2572,-,1,1
LOC130455316,HiC_scaffold_48732,LOC130455316,1756,1862,-,1,1
LOC130457656,HiC_scaffold_48765,LOC130457656,782,884,-,1,1
TRNAT-AGU_8,HiC_scaffold_48773,TRNAT-AGU,181,254,-,1,1
TRNAA-AGC_4,HiC_scaffold_48773,TRNAA-AGC,2253,2325,+,1,1
ILDR2,HiC_scaffold_4882,ILDR2,2560,13302,+,4,1
LOC100023155,HiC_scaffold_48850,LOC100023155,1593,2557,+,1,1
LOC130455630,HiC_scaffold_4904,LOC130455630,10762,12588,+,1,1
LOC107650521,HiC_scaffold_49043,LOC107650521,253,2351,+,1,1
LOC100028213,HiC_scaffold_4905,LOC100028213,4406,5417,-,1,1
LOC103099393,HiC_scaffold_4907,LOC103099393,10685,12301,+,1,1
LOC130453482,HiC_scaffold_49095,LOC130453482,1,2381,+,1,1
LOC103099044,HiC_scaffold_491,LOC103099044,3760,16429,-,1,1
LOC103101199,HiC_scaffold_49134,LOC103101199,2421,2477,-,1,1
CRELD2,HiC_scaffold_4915,CRELD2,117,5654,-,3,1
ALG12,HiC_scaffold_4915,ALG12,6743,9918,+,2,1
LOC103100533,HiC_scaffold_4917,LOC103100533,12011,12932,+,1,1
LOC103104868,HiC_scaffold_49173,LOC103104868,337,2436,-,3,1
LOC130454613,HiC_scaffold_49183,LOC130454613,643,1807,+,4,1
DVL2,HiC_scaffold_4919,DVL2,222,2992,+,2,1
ACADVL,HiC_scaffold_4919,ACADVL,3079,11100,-,2,1
LOC103095951,HiC_scaffold_49232,LOC103095951,577,1724,-,6,1
RAB3A,HiC_scaffold_493,RAB3A,1615,11014,+,1,1
MPV17L2,HiC_scaffold_493,MPV17L2,11092,18417,-,1,1
LOC103106515,HiC_scaffold_49342,LOC103106515,273,1397,-,1,1
LOC130458057,HiC_scaffold_49364,LOC130458057,24,2405,+,1,1
LOC130454572,HiC_scaffold_49373,LOC130454572,1279,1993,+,1,1
LOC100023723,HiC_scaffold_4943,LOC100023723,9748,11710,+,1,1
AQP10,HiC_scaffold_49440,AQP10,1565,2500,-,1,1
LOC103097740,HiC_scaffold_49446,LOC103097740,1547,1679,+,1,1
LOC103099645,HiC_scaffold_49504,LOC103099645,1686,2494,-,2,1
LOC103095594,HiC_scaffold_49541,LOC103095594,889,2386,-,1,1
CBARP,HiC_scaffold_49559,CBARP,34,2338,-,1,1
LOC100027408,HiC_scaffold_49700,LOC100027408,1,2285,+,1,1
LOC100619434,HiC_scaffold_49722,LOC100619434,1693,2475,-,1,1
RETN,HiC_scaffold_4976,RETN,977,3272,+,1,1
LOC100618048,HiC_scaffold_49771,LOC100618048,31,1736,+,1,1
LOC103098296,HiC_scaffold_4985,LOC103098296,1945,13060,+,2,1
SMS,HiC_scaffold_49979,SMS,1,2452,-,2,1
LOC103104356,HiC_scaffold_5,LOC103104356,125546,141418,-,1,1
LOC130455147,HiC_scaffold_5,LOC130455147,143229,146856,+,1,1
LOC100013145,HiC_scaffold_5,LOC100013145,178065,182551,-,1,1
ODAM,HiC_scaffold_5,ODAM,212100,229448,-,1,1
LOC103103706,HiC_scaffold_5,LOC103103706,246101,254678,-,1,1
LOC100010148,HiC_scaffold_5,LOC100010148,316150,343814,+,1,1
LOC100010054,HiC_scaffold_5,LOC100010054,352113,369802,+,6,1
LOC103101611,HiC_scaffold_5,LOC103101611,429196,439194,-,1,1
PGRMC2,HiC_scaffold_5,PGRMC2,437239,463272,+,1,1
LOC130455146,HiC_scaffold_5,LOC130455146,507142,508284,+,1,1
LARP1B,HiC_scaffold_5,LARP1B,507610,579019,-,6,1
ABHD18,HiC_scaffold_5,ABHD18,590291,609115,-,1,1
PLK4,HiC_scaffold_5,PLK4,626529,646206,-,4,1
HSPA4L,HiC_scaffold_5,HSPA4L,654159,716726,-,1,1
SLC25A31,HiC_scaffold_5,SLC25A31,737146,769242,-,1,1
INTU,HiC_scaffold_5,INTU,785289,891227,-,4,1
LOC103097841,HiC_scaffold_5,LOC103097841,905009,905689,-,1,1
LOC130455144,HiC_scaffold_5,LOC130455144,1006777,1024538,+,1,1
LOC130455143,HiC_scaffold_5,LOC130455143,1077996,1112823,+,1,1
LOC103097483,HiC_scaffold_5,LOC103097483,1194041,1200065,+,2,1
ANKRD50,HiC_scaffold_5,ANKRD50,2831742,2910814,+,1,1
LOC107650787,HiC_scaffold_5,LOC107650787,3161418,3162024,-,1,1
LOC130455142,HiC_scaffold_5,LOC130455142,3444771,3444964,-,1,1
FAT4,HiC_scaffold_5,FAT4,3620983,3818169,+,1,1
LOC103093520,HiC_scaffold_5,LOC103093520,4313042,4360289,+,1,1
SPRY1,HiC_scaffold_5,SPRY1,4392811,4400061,-,2,1
AFG2A,HiC_scaffold_5,AFG2A,4447318,4608572,-,1,1
LOC107649264,HiC_scaffold_5,LOC107649264,4550135,4557580,+,1,1
NUDT6,HiC_scaffold_5,NUDT6,4620175,4636769,+,2,1
FGF2,HiC_scaffold_5,FGF2,4636522,4700981,-,1,1
BBS12,HiC_scaffold_5,BBS12,4756042,4761333,-,3,1
LOC100016035,HiC_scaffold_5,LOC100016035,4761542,4768897,+,1,1
BLTP1,HiC_scaffold_5,BLTP1,5126221,5289496,-,3,1
TRPC3,HiC_scaffold_5,TRPC3,5318891,5381043,+,3,1
BBS7,HiC_scaffold_5,BBS7,5418396,5536031,+,5,1
CCNA2,HiC_scaffold_5,CCNA2,5536805,5544155,+,1,1
EXOSC9,HiC_scaffold_5,EXOSC9,5543367,5563614,-,1,1
LOC100017226,HiC_scaffold_5,LOC100017226,5576184,5576228,-,1,1
SMIM43,HiC_scaffold_5,SMIM43,5579633,5580370,+,1,1
ANXA5,HiC_scaffold_5,ANXA5,5600638,5653001,+,1,1
QRFPR,HiC_scaffold_5,QRFPR,5756002,5816934,+,1,1
PDE2A,HiC_scaffold_5,PDE2A,6002847,6014473,-,2,1
NDNF,HiC_scaffold_5,NDNF,6076848,6111093,+,2,1
PRDM5,HiC_scaffold_5,PRDM5,6341332,6466862,-,3,1
LOC130455141,HiC_scaffold_5,LOC130455141,6348806,6349732,+,1,1
LOC130455242,HiC_scaffold_5,LOC130455242,6601525,6601986,+,1,1
LOC130455140,HiC_scaffold_5,LOC130455140,6724129,6794636,-,2,2
LOC130455139,HiC_scaffold_5,LOC130455139,6916956,6933438,-,1,1
LOC130455138,HiC_scaffold_5,LOC130455138,6950914,6951055,+,1,1
MAD2L1,HiC_scaffold_5,MAD2L1,6954748,6965759,+,1,1
PDE5A,HiC_scaffold_5,PDE5A,7013265,7186274,+,4,1
LOC103101193,HiC_scaffold_5,LOC103101193,7102477,7105865,-,1,1
LOC103100549,HiC_scaffold_5,LOC103100549,7229676,7246852,-,1,1
FABP2,HiC_scaffold_5,FABP2,7233100,7239669,+,1,1
LOC103101789,HiC_scaffold_5,LOC103101789,7253953,7260087,+,1,1
USP53,HiC_scaffold_5,USP53,7260761,7325510,-,2,1
LOC130455137,HiC_scaffold_5,LOC130455137,7280259,7283398,+,1,1
LOC103102685,HiC_scaffold_5,LOC103102685,7346030,7371089,+,1,1
MYOZ2,HiC_scaffold_5,MYOZ2,7364660,7413990,-,5,1
SYNPO2,HiC_scaffold_5,SYNPO2,7458298,7655446,-,1,1
LOC103103231,HiC_scaffold_5,LOC103103231,7475045,7486597,+,1,1
LOC130455136,HiC_scaffold_5,LOC130455136,7674987,7678091,-,1,1
SEC24D,HiC_scaffold_5,SEC24D,7740707,7858322,+,1,1
METTL14,HiC_scaffold_5,METTL14,7862766,7897920,-,2,1
PRSS12,HiC_scaffold_5,PRSS12,7938073,8010195,+,2,1
LOC103104695,HiC_scaffold_5,LOC103104695,8011909,8022073,-,4,1
LOC130455281,HiC_scaffold_5,LOC130455281,8021246,8021376,-,1,1
FUT10,HiC_scaffold_5,FUT10,8022171,8051273,+,4,1
LOC103105233,HiC_scaffold_5,LOC103105233,8073251,8082761,+,1,1
CLDN23,HiC_scaffold_5,CLDN23,8083788,8085955,+,1,1
NRG1,HiC_scaffold_5,NRG1,8445055,9258746,-,7,1
LOC130455190,HiC_scaffold_5,LOC130455190,8595787,8596023,-,1,1
WRN,HiC_scaffold_5,WRN,9414419,9524837,-,1,1
PURG,HiC_scaffold_5,PURG,9524832,9566280,+,2,1
TEX15,HiC_scaffold_5,TEX15,9591955,9629390,+,9,1
LOC130455188,HiC_scaffold_5,LOC130455188,9612234,9616807,-,1,1
PPP2CB,HiC_scaffold_5,PPP2CB,9637995,9677990,+,1,1
GSR,HiC_scaffold_5,GSR,9686291,9707080,+,2,1
GTF2E2,HiC_scaffold_5,GTF2E2,9711390,9812052,+,2,1
SMIM18,HiC_scaffold_5,SMIM18,9746504,9757124,-,1,1
RBPMS,HiC_scaffold_5,RBPMS,9825025,9984675,-,4,1
LOC103096277,HiC_scaffold_5,LOC103096277,9989829,10012653,-,1,1
LOC103096147,HiC_scaffold_5,LOC103096147,9990093,9995516,+,1,1
DCTN6,HiC_scaffold_5,DCTN6,10054858,10071329,-,4,1
MBOAT4,HiC_scaffold_5,MBOAT4,10071219,10083428,+,2,1
LEPROTL1,HiC_scaffold_5,LEPROTL1,10086391,10113529,-,1,1
LOC103097842,HiC_scaffold_5,LOC103097842,10141080,10145143,+,1,1
LOC130455186,HiC_scaffold_5,LOC130455186,10186669,10202203,+,1,1
DUSP4,HiC_scaffold_5,DUSP4,10271421,10286655,+,1,1
TNKS,HiC_scaffold_5,TNKS,10288287,10510530,-,10,1
LOC130455255,HiC_scaffold_5,LOC130455255,10553859,10554111,+,1,1
ERI1,HiC_scaffold_5,ERI1,10610703,10635729,+,5,1
PPP1R3B,HiC_scaffold_5,PPP1R3B,10669217,10676681,+,7,1
